user_id,age,location
8,34.0,"timmins, ontario, canada"
11400,49.0,"ottawa, ontario, canada"
11676,34.0,usa
67544,30.0,"toronto, ontario, canada"
85526,36.0,"victoria, british columbia, canada"
96054,29.0,"ottawa, ontario, canada"
116866,34.0,"ottawa, usa"
123629,34.0,"kingston, ontario, canada"
177458,29.0,"ottawa, ontario, canada"
200273,34.0,"comber, ontario, canada"
210926,34.0,"guelph, ontario, canada"
219008,60.0,"halifax, nova scotia, canada"
263325,27.0,"fredericton, new brunswick, canada"
2954,71.0,"wichita, kansas, usa"
152827,40.0,"ottawa, ontario, canada"
35704,53.0,"kansas city, missouri, usa"
83160,65.0,"oregon city, oregon, usa"
110912,36.0,"milpitas, california, usa"
137688,46.0,"medford, new york, usa"
157969,30.0,"denver, colorado, usa"
192665,47.0,"vacaville, california, usa"
197659,49.0,"indiana, pennsylvania, usa"
208059,34.0,"payson, arizona, usa"
209163,34.0,"columbus, ohio, usa"
29526,26.0,"knoxville, tennessee, usa"
36836,56.0,"raleigh, north carolina, usa"
46398,37.0,"san antonio, texas, usa"
49300,34.0,"loveland, colorado, usa"
49635,34.0,"seattle, washington, usa"
67958,39.0,"idaho falls, idaho, usa"
113270,25.0,"evanston, illinois, usa"
113519,34.0,"pleasanton, california, usa"
115097,27.0,"seattle, usa"
136509,31.0,"santa barbara, california, usa"
148712,34.0,"homer, alaska, usa"
178269,34.0,"harbor city, california, usa"
180297,41.0,"ann arbor, michigan, usa"
188589,20.0,"klang, selangor, malaysia"
194722,34.0,"dallas, texas, usa"
198013,34.0,"sandy, oregon, usa"
200674,58.0,"pittsburg, missouri, usa"
207148,42.0,"san diego, california, usa"
211919,38.0,"jacksonville, florida, usa"
212449,34.0,"austin, texas, usa"
213191,34.0,"san diego, california, usa"
230522,52.0,"colorado springs, colorado, usa"
236322,34.0,"houston, texas, usa"
238557,21.0,"kuala lumpur, selangor, malaysia"
242247,42.0,"livonia, michigan, usa"
245827,34.0,"albuquerque, usa"
248583,34.0,"vancouver, british columbia, canada"
252282,42.0,"sammamish, washington, usa"
252921,22.0,"renton, washington, usa"
255661,34.0,"parker, colorado, usa"
52614,33.0,"toccoa, ga, usa"
225910,19.0,"annville, pennsylvania, usa"
274634,33.0,"wahiawa, hawaii, usa"
98499,34.0,"toronto, ontario, canada"
166596,57.0,"greenwood, british columbia, canada"
189238,34.0,"dunedin, otago, new zealand"
223066,51.0,"ottawa, ontario, canada"
92861,34.0,"vancouver, british columbia, canada"
3363,29.0,"knoxville, tennessee, usa"
61501,34.0,"timmins, ontario, canada"
148514,34.0,"barstow, california, usa"
174304,26.0,"st louis, missouri, usa"
177090,37.0,"ashland, missouri, usa"
256233,34.0,"glen allen, virginia, usa"
263256,34.0,"knoxville, tennessee, usa"
176875,31.0,"tampere, pirkanmaa, finland"
213915,29.0,"sheffield, s yorkshire, united kingdom"
35826,34.0,"prosperity, south carolina, usa"
226745,38.0,"humble, usa"
9,34.0,"germantown, tennessee, usa"
243,34.0,"arden hills, minnesota, usa"
388,35.0,"nashville, tennessee, usa"
2977,25.0,"richland, washington, usa"
3329,34.0,"grantsville, utah, usa"
6795,31.0,"portland, oregon, usa"
7346,49.0,"sunnyvale, california, usa"
7352,53.0,"houston, texas, usa"
9419,34.0,"somewhere, texas, usa"
9747,34.0,"ofallon, missouri, usa"
9856,22.0,"glendale, colorado, usa"
11224,51.0,"tumwater, washington, usa"
12685,34.0,"charlotte, north carolina, usa"
12923,39.0,"louisville, kentucky, usa"
13552,32.0,"cordova, tennessee, usa"
13582,29.0,"lisboa, portugal"
14521,34.0,"providence, rhode island, usa"
16666,34.0,"rogersville, tennessee, usa"
16795,47.0,"mechanicsville, maryland, usa"
17761,34.0,"pinckney, michigan, usa"
19445,34.0,"selden, new york, usa"
20435,62.0,"fairhope, alabama, usa"
20462,34.0,"bossier city, louisiana, usa"
20801,29.0,"rio de janeiro, brazil"
20916,34.0,"elmwood, massachusetts, usa"
21264,31.0,"north brunswick, new jersey, usa"
23511,56.0,"chapel hill, north carolina, usa"
23768,45.0,"st louis, missouri, usa"
26240,34.0,"sacramento, california, usa"
26544,37.0,"woodbridge, virginia, usa"
26593,34.0,"peoria, arizona, usa"
27684,34.0,"knox, pennsylvania, usa"
28123,34.0,"indiuanapolis, indiana, usa"
28619,34.0,"hartford, connecticut, usa"
29654,42.0,"offenbach, hessen, germany"
30487,40.0,"newbury park, california, usa"
30533,34.0,"charleston, south carolina, usa"
31299,74.0,"homer city, pennsylvania, usa"
31315,34.0,"henryville, indiana, usa"
31556,51.0,"chula vista, california, usa"
31560,34.0,"charleston, south carolina, usa"
31694,34.0,"chula vista, california, usa"
32516,44.0,"st rose, louisiana, usa"
35857,36.0,"mentor, ohio, usa"
35859,34.0,"duluth, minnesota, usa"
36606,39.0,"san marcos, california, usa"
37874,43.0,"williamsburg, virginia, usa"
38718,34.0,"aloha, usa"
38991,68.0,"cumby, texas, usa"
39345,47.0,"jacksonville, florida, usa"
39646,35.0,"fairless hills, pennsylvania, usa"
40889,37.0,"brainerd, minnesota, usa"
41781,54.0,"clinton twp, michigan, usa"
44663,34.0,"klang, selangor, malaysia"
45585,34.0,"san diego, california, usa"
46389,55.0,"pine knoll shores, north carolina, usa"
46767,24.0,"leipzig, sachsen, germany"
47971,40.0,"toronto, ontario, canada"
48268,18.0,"vienna, austria"
48911,57.0,"new orleans, louisiana, usa"
49168,57.0,"ivydale, west virginia, usa"
49994,40.0,"clintonville, wisconsin, usa"
52584,45.0,"livermore, california, usa"
52994,34.0,"colton, oregon, usa"
54005,59.0,"lacey, washington, usa"
54884,33.0,"nashua, new hampshire, usa"
55027,44.0,"burlington, north carolina, usa"
55492,43.0,"antioch, illinois, usa"
57108,38.0,"new york, usa"
57423,34.0,"coburg, oregon, usa"
57632,34.0,"pearland, texas, usa"
59038,28.0,"san antonio, texas, usa"
59390,34.0,"uniontown, pennsylvania, usa"
60130,41.0,"lowell, arkansas, usa"
60569,41.0,"chardon, ohio, usa"
60683,47.0,"hartford, wisconsin, usa"
62667,53.0,"warsaw, virginia, usa"
62881,39.0,"milwaukee, wisconsin, usa"
63470,56.0,"reno, nevada, usa"
64535,43.0,"fredericksburg, virginia, usa"
64679,34.0,"buffalo grove, illinois, usa"
66387,52.0,"kokomo, indiana, usa"
67487,33.0,"melbourne, florida, usa"
68256,28.0,"chickasha, oklahoma, usa"
68537,70.0,"friendswood, texas, usa"
69232,55.0,"mooresville, north carolina, usa"
70205,34.0,"fresno, california, usa"
70666,18.0,"warwick, rhode island, usa"
72523,34.0,"grand island, new york, usa"
72975,21.0,"minneapolis, minnesota, usa"
74709,21.0,"macomb, michigan, usa"
75691,17.0,"cincinnati, ohio, usa"
75819,34.0,"west falls, new york, usa"
76352,58.0,"olympia, washington, usa"
76368,34.0,"langley, british columbia, canada"
76942,25.0,"sacramento, california, usa"
78165,34.0,"bologna, emilia romagna, italy"
78754,34.0,"dwight, illinois, usa"
78834,28.0,"honolulu, hawaii, usa"
